Name,Category,Public ID,Weight,Price,Fat,Protein,Carbs,KCal
Колбаса вареная Классическая ,Всё для окрошки,5c10ad5f-283e-4216-a22e-d2be7daeddde,300 g,260,29,9,0.8,300.2
Колбаса вареная Классическая Халяль,Всё для окрошки,5e81aef6-855b-4d36-ba88-2ee2794de210,430 g,423,13.1,14.5,1.7,182.7
Колбаса вареная к завтраку ,Всё для окрошки,9beb3708-b4ee-43b1-a35b-3bbddae27e34,500 g,387,45,31,0,230
Колбаса из курицы вареная,Всё для окрошки,1d3e5d10-77f4-43a9-9f7b-c3ad7081af33,370 g,407,5,13,0.03,100.72
Филе грудки цыпленка,Всё для окрошки,01adf10a-ec11-4951-b3df-7d504868f9cc,890 g,483,2.8,21.6,0,111.6
Филе куриной грудки запеченное,Всё для окрошки,aa2dbd40-1dab-43cb-bf4e-17e4bdb7a6ee,160 g,323,6.8,26.4,0,166.8
Филе грудки индейки,Всё для окрошки,998a5f3e-fd9a-460e-8721-e7439fb91be2,770 g,578,2.5,20,0.4,100
Филе куриное копчено-запеченное,Всё для окрошки,47b1a1fc-abf0-4954-8045-60946b256fae,160 g,250,2.7,24.3,0.4,123.1
Говядина филей,Всё для окрошки,b600a1b2-8a24-4c48-9950-cc363a97e3f8,550 g,729,8,16,0,136
Ассорти из зелени,Всё для окрошки,7ad08476-c1bd-4a68-9861-76fb5328bf89,100 g,91,0.3,2.5,6,35
"Микс укроп, петрушка",Всё для окрошки,cf61c826-1186-477d-831e-d9ba7158bfec,50 g,68,0.6,2.3,5.1,31
Петрушка,Всё для окрошки,c848c1bc-066d-43ec-b128-c10e4d4639d8,30 g,45,0.4,3.7,7.6,47
Лук зеленый,Всё для окрошки,1f7f0aca-70ed-44f0-95f7-e1fa63fe058f,100 g,93,0,1.3,4.6,19
Петрушка,Всё для окрошки,91dfc9bd-c946-45a5-8738-252dc2200cac,100 g,94,0.4,3.7,7.6,47
Яйцо куриное С0,Всё для окрошки,f8cd1348-0006-412c-85ba-873107136b7f,650 g,156,11.5,12.3,0.7,157
Яйцо куриное С1,Всё для окрошки,cf176b89-e400-4981-bd37-deb5739cc83e,550 g,144,11.5,12.7,0.7,157.1
Сметана 15%,Всё для окрошки,3bcfddfd-8c09-45a4-b257-ed8003081adf,250 g,88,15,2.6,3.6,160
